,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Regent Park, Harbourfront",43.6555,-79.3626,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
1,"Regent Park, Harbourfront",43.6555,-79.3626,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
2,"Regent Park, Harbourfront",43.6555,-79.3626,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
3,"Regent Park, Harbourfront",43.6555,-79.3626,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
4,"Regent Park, Harbourfront",43.6555,-79.3626,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
5,"Queen's Park, Ontario Provincial Government",43.6641,-79.3889,Queen's Park,43.66394609897775,-79.39217952520835,Park
6,"Queen's Park, Ontario Provincial Government",43.6641,-79.3889,Tokyo Sushi,43.665885330936845,-79.38697684868161,Sushi Restaurant
7,"Queen's Park, Ontario Provincial Government",43.6641,-79.3889,Bar Volo,43.66546184849369,-79.38569158315659,Beer Bar
8,"Queen's Park, Ontario Provincial Government",43.6641,-79.3889,The Alley,43.66592244798498,-79.38556672752236,Bubble Tea Shop
9,"Queen's Park, Ontario Provincial Government",43.6641,-79.3889,Nando's,43.66172826,-79.38639146,Portuguese Restaurant
10,"Garden District, Ryerson",43.6572,-79.3783,Page One Cafe,43.65777161112601,-79.3760725691681,Café
11,"Garden District, Ryerson",43.6572,-79.3783,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
12,"Garden District, Ryerson",43.6572,-79.3783,Blaze Pizza,43.656518,-79.380015,Pizza Place
13,"Garden District, Ryerson",43.6572,-79.3783,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
14,"Garden District, Ryerson",43.6572,-79.3783,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
15,St. James Town,43.6513,-79.3756,Gyu-Kaku Japanese BBQ,43.651422275497914,-79.37504693687086,Japanese Restaurant
16,St. James Town,43.6513,-79.3756,Hogtown Smoke,43.64928693557788,-79.37468932637938,Food Truck
17,St. James Town,43.6513,-79.3756,GoodLife Fitness Toronto 137 Yonge Street,43.651242,-79.378068,Gym
18,St. James Town,43.6513,-79.3756,Terroni,43.650927,-79.375602,Italian Restaurant
19,St. James Town,43.6513,-79.3756,Crepe TO,43.650063279511016,-79.37458664523871,Creperie
20,The Beaches,43.6784,-79.2941,Glen Manor Ravine,43.67682094413784,-79.29394208780985,Trail
21,The Beaches,43.6784,-79.2941,The Big Carrot Natural Food Market,43.678879,-79.297734,Health Food Store
22,The Beaches,43.6784,-79.2941,Beaches Bake Shop,43.68036312619922,-79.28969173416124,Bakery
23,The Beaches,43.6784,-79.2941,The Beech Tree,43.680493,-79.288846,Gastropub
24,The Beaches,43.6784,-79.2941,Grover Pub and Grub,43.679181434941015,-79.29721535878515,Pub
